plate_text,first_seen,vehicle_type,vehicle_id,confidence
GX10GJ,2025-06-08 13:42:21,car,6,0.8879269073291363
CX150G,2025-06-08 13:42:28,car,6,0.6142260979956444
QP05J,2025-06-08 13:43:35,car,1,0.7629721836077508
